,Watykan,Bazylika Świętego Piotra,Muzea Watykańskie,Kaplica Sykstyńska,Zamek Świętego Anioła,Panteon,Fontanna di Trevi,Plac Hiszpański i Schody Hiszpańskie,Piazza Navona,Campo de' Fiori,Koloseum,Forum Romanum,Palatyn,Łuk Konstantyna,Kapitol,Ołtarz Ojczyzny (Vittoriano),Bazylika Santa Maria Maggiore,Bazylika św. Jana na Lateranie,Katakumby św. Kaliksta,Villa Borghese,Piazza del Popolo
Watykan,0.0,0.09,0.4,0.09,1.07,2.0,2.49,2.42,1.69,1.76,3.52,2.89,3.25,3.54,2.67,2.53,3.82,4.69,6.89,3.46,2.14
Bazylika Świętego Piotra,0.09,0.0,0.48,0.09,1.03,1.94,2.44,2.39,1.63,1.69,3.45,2.82,3.18,3.47,2.6,2.47,3.76,4.62,6.8,3.45,2.13
Muzea Watykańskie,0.4,0.48,0.0,0.41,1.12,2.12,2.54,2.38,1.81,1.97,3.68,3.06,3.44,3.71,2.84,2.67,3.88,4.85,7.17,3.31,1.99
Kaplica Sykstyńska,0.09,0.09,0.41,0.0,0.98,1.91,2.4,2.33,1.6,1.68,3.43,2.8,3.17,3.46,2.59,2.45,3.73,4.6,6.82,3.37,2.05
Zamek Świętego Anioła,1.07,1.03,1.12,0.98,0.0,1.0,1.43,1.36,0.71,0.98,2.58,1.97,2.37,2.61,1.76,1.57,2.77,3.74,6.2,2.48,1.23
Panteon,2.0,1.94,2.12,1.91,1.0,0.0,0.6,0.93,0.31,0.51,1.58,0.98,1.39,1.62,0.79,0.57,1.84,2.74,5.3,2.15,1.37
Fontanna di Trevi,2.49,2.44,2.54,2.4,1.43,0.6,0.0,0.56,0.87,1.1,1.4,0.95,1.34,1.45,0.87,0.59,1.34,2.46,5.25,1.65,1.23
Plac Hiszpański i Schody Hiszpańskie,2.42,2.39,2.38,2.33,1.36,0.93,0.56,0.0,1.07,1.43,1.93,1.51,1.9,1.98,1.42,1.14,1.64,2.92,5.79,1.23,0.72
Piazza Navona,1.69,1.63,1.81,1.6,0.71,0.31,0.87,1.07,0.0,0.42,1.87,1.26,1.66,1.9,1.05,0.86,2.15,3.04,5.52,2.3,1.34
Campo de' Fiori,1.76,1.69,1.97,1.68,0.98,0.51,1.1,1.43,0.42,0.0,1.76,1.14,1.49,1.78,0.92,0.84,2.23,2.93,5.24,2.66,1.75
Koloseum,3.52,3.45,3.68,3.43,2.58,1.58,1.4,1.93,1.87,1.76,0.0,0.63,0.34,0.06,0.84,1.02,1.02,1.17,3.86,2.67,2.63
Forum Romanum,2.89,2.82,3.06,2.8,1.97,0.98,0.95,1.51,1.26,1.14,0.63,0.0,0.42,0.65,0.22,0.42,1.28,1.8,4.35,2.48,2.16
Palatyn,3.25,3.18,3.44,3.17,2.37,1.39,1.34,1.9,1.66,1.49,0.34,0.42,0.0,0.33,0.61,0.84,1.3,1.46,3.93,2.77,2.57
Łuk Konstantyna,3.54,3.47,3.71,3.46,2.61,1.62,1.45,1.98,1.9,1.78,0.06,0.65,0.33,0.0,0.87,1.05,1.07,1.15,3.81,2.72,2.68
Kapitol,2.67,2.6,2.84,2.59,1.76,0.79,0.87,1.42,1.05,0.92,0.84,0.22,0.61,0.87,0.0,0.28,1.44,2.02,4.51,2.47,2.04
Ołtarz Ojczyzny (Vittoriano),2.53,2.47,2.67,2.45,1.57,0.57,0.59,1.14,0.86,0.84,1.02,0.42,0.84,1.05,0.28,0.0,1.4,2.18,4.77,2.22,1.76
Bazylika Santa Maria Maggiore,3.82,3.76,3.88,3.73,2.77,1.84,1.34,1.64,2.15,2.23,1.02,1.28,1.3,1.07,1.44,1.4,0.0,1.43,4.5,1.89,2.33
Bazylika św. Jana na Lateranie,4.69,4.62,4.85,4.6,3.74,2.74,2.46,2.92,3.04,2.93,1.17,1.8,1.46,1.15,2.02,2.18,1.43,0.0,3.09,3.32,3.64
Katakumby św. Kaliksta,6.89,6.8,7.17,6.82,6.2,5.3,5.25,5.79,5.52,5.24,3.86,4.35,3.93,3.81,4.51,4.77,4.5,3.09,0.0,6.39,6.49
Villa Borghese,3.46,3.45,3.31,3.37,2.48,2.15,1.65,1.23,2.3,2.66,2.67,2.48,2.77,2.72,2.47,2.22,1.89,3.32,6.39,0.0,1.33
Piazza del Popolo,2.14,2.13,1.99,2.05,1.23,1.37,1.23,0.72,1.34,1.75,2.63,2.16,2.57,2.68,2.04,1.76,2.33,3.64,6.49,1.33,0.0
